Unnamed: 0,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Citizenship,Family Position,Attendance,Field of Study,Special Needs
755,1,1,4,171.0,1.0,1.0,,1,1,19,4.0,5.0,138.0,1,0,1,0,1,0,19,0.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,15.5,2.8,-4.06,Dropout,Sofia,,Part-Time,Medicine,
2093,1,1,1,9500.0,1.0,1.0,,1,37,37,9.0,9.0,138.0,1,0,0,1,0,0,18,0.0,0,7.0,7,6.0,15.2,,0.0,7.0,7.0,6,15.2,0,7.6,2.6,0.32,Graduate,Milan,,Evening Classes,Science,
438,1,1,5,,1.0,1.0,,1,9,1,2.0,4.0,133.0,1,0,0,1,0,0,19,0.0,0,,0,0.0,,,,6.0,0.0,0,0.0,0,7.6,2.6,0.32,Dropout,Venice,,Part-Time,Engineering,
912,2,39,1,9991.0,0.0,1.0,140.0,1,37,37,9.0,9.0,120.0,0,0,0,0,0,0,38,0.0,0,5.0,6,5.0,10.6,0.0,0.0,5.0,9.0,2,11.0,0,12.7,3.7,-1.7,Dropout,Stockholm,Youngest Child,Evening Classes,Medicine,No Special Needs
1157,1,16,4,9254.0,1.0,1.0,,1,38,37,9.0,7.0,118.7,1,0,0,1,0,1,21,0.0,0,6.0,7,6.0,13.571428571428571,,0.0,6.0,6.0,6,12.5,0,8.9,1.4,3.51,Graduate,Dublin,,Part-Time,Engineering,
2423,1,39,1,9003.0,1.0,1.0,133.1,1,1,37,9.0,8.0,130.0,0,0,0,1,1,0,29,0.0,0,3.0,4,0.0,0.0,0.0,0.0,4.0,8.0,0,0.0,0,16.2,0.3,-0.92,Dropout,Oslo,First Child,Part-Time,Science,No Special Needs
2498,1,39,1,171.0,1.0,19.0,133.1,101,1,19,2.0,7.0,110.0,0,0,0,1,1,1,25,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,15.5,2.8,-4.06,Dropout,Stockholm,Youngest Child,Full-Time,Arts,Special Needs
3028,1,39,1,8014.0,0.0,1.0,,1,37,37,9.0,6.0,134.0,0,0,0,1,0,1,35,0.0,2,8.0,8,8.0,13.625,,1.0,7.0,7.0,7,14.0,0,8.9,1.4,3.51,Graduate,Edinburgh,,Part-Time,Science,
2476,1,43,2,9500.0,1.0,1.0,130.0,1,38,37,4.0,4.0,126.8,1,0,0,1,1,1,28,0.0,18,23.0,23,20.0,13.5,3.0,18.0,23.0,23.0,20,13.5,3,7.6,2.6,0.32,Graduate,Amsterdam,First Child,Full-Time,Arts,Special Needs
683,4,39,1,9238.0,1.0,19.0,,1,37,37,9.0,10.0,103.5,0,0,0,0,0,0,44,0.0,0,6.0,0,0.0,0.0,,0.0,6.0,0.0,0,0.0,0,13.9,-0.3,0.79,Dropout,Venice,,Full-Time,Commerce,
1427,1,1,1,9254.0,1.0,1.0,143.0,1,2,37,1.0,1.0,133.2,1,0,0,1,0,0,19,0.0,0,6.0,9,5.0,13.4,0.0,0.0,6.0,16.0,2,13.5,0,10.8,1.4,1.74,Enrolled,Istanbul,Middle Child,Part-Time,Commerce,Special Needs
70,1,17,1,9147.0,,1.0,148.0,1,38,37,5.0,,134.0,0,0,0,1,1,0,18,,0,5.0,9,0.0,0.0,0.0,0.0,,,0,,0,7.6,,0.32,Enrolled,,Youngest Child,Part-Time,Arts,No Special Needs
3404,2,43,1,9991.0,0.0,1.0,,1,37,37,9.0,9.0,113.7,0,0,0,1,0,0,32,0.0,1,5.0,5,5.0,10.2,,0.0,5.0,9.0,4,11.25,0,9.4,-0.8,-3.12,Enrolled,Warsaw,,Online,Medicine,
3312,1,51,1,9070.0,,12.0,,1,37,19,3.0,,106.6,0,0,1,1,0,0,31,,2,6.0,8,5.0,11.0,,4.0,,,6,,0,8.9,,3.51,Enrolled,,,Evening Classes,Medicine,
2757,1,44,1,9085.0,1.0,39.0,110.0,1,3,5,2.0,2.0,110.0,0,0,0,1,1,0,23,0.0,0,6.0,19,0.0,0.0,0.0,0.0,6.0,6.0,0,0.0,0,13.9,-0.3,0.79,Dropout,Bucharest,First Child,Online,Arts,No Special Needs
2552,1,1,1,8014.0,0.0,1.0,,1,38,37,5.0,5.0,118.7,0,0,0,1,0,0,19,0.0,0,6.0,6,6.0,12.5,,0.0,6.0,6.0,6,11.5,0,12.7,3.7,-1.7,Graduate,Sofia,,Full-Time,Science,
4078,2,39,1,9991.0,0.0,1.0,,1,38,19,4.0,8.0,134.7,0,0,0,1,0,0,33,0.0,0,5.0,5,5.0,12.8,,0.0,5.0,6.0,5,15.333333333333334,0,10.8,1.4,1.74,Graduate,Munich,,Part-Time,Engineering,
4184,1,1,1,9238.0,1.0,1.0,,1,38,38,0.0,7.0,133.2,1,0,0,1,0,0,19,0.0,0,6.0,8,5.0,11.0,,0.0,6.0,13.0,5,11.4,0,7.6,2.6,0.32,Graduate,Edinburgh,,Online,Arts,
4225,1,44,1,9238.0,1.0,,,1,38,19,,0.0,141.8,0,0,0,1,0,0,21,,3,6.0,7,,,,2.0,6.0,6.0,6,13.5,0,12.4,0.5,1.79,Graduate,,,Part-Time,Arts,
2473,1,39,1,9003.0,1.0,1.0,133.1,1,1,1,1.0,6.0,120.0,0,0,0,0,1,0,24,0.0,0,6.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0,0.0,0,13.9,-0.3,0.79,Dropout,Barcelona,Middle Child,Online,Arts,No Special Needs
4146,2,39,1,9500.0,1.0,19.0,133.1,1,37,38,9.0,10.0,120.9,1,0,0,1,0,0,39,0.0,0,7.0,12,4.0,12.0,0.0,0.0,7.0,13.0,4,12.5625,0,11.1,0.6,2.02,Dropout,Stockholm,Middle Child,Online,Medicine,No Special Needs
2470,1,44,1,9130.0,1.0,39.0,150.0,1,5,1,2.0,5.0,150.0,1,0,0,1,1,0,19,0.0,1,6.0,13,5.0,11.6,0.0,1.0,6.0,12.0,2,11.0,0,13.9,-0.3,0.79,Enrolled,Madrid,First Child,Evening Classes,Engineering,Special Needs
1444,1,43,1,9991.0,0.0,1.0,140.0,1,1,1,6.0,6.0,100.0,0,0,0,1,1,0,34,0.0,0,5.0,5,5.0,13.8,0.0,0.0,5.0,6.0,5,13.833333333333334,0,9.4,-0.8,-3.12,Graduate,Venice,First Child,Evening Classes,Commerce,No Special Needs
4147,4,39,1,9085.0,1.0,1.0,140.0,1,37,37,9.0,9.0,154.6,0,0,0,0,0,1,44,0.0,0,6.0,12,4.0,12.75,0.0,0.0,6.0,15.0,2,10.0,0,8.9,1.4,3.51,Enrolled,,First Child,Evening Classes,Commerce,Special Needs
2577,1,1,4,9254.0,1.0,1.0,,1,37,37,9.0,7.0,113.2,1,0,0,1,0,0,24,0.0,0,6.0,14,2.0,10.5,,0.0,6.0,11.0,1,10.0,0,10.8,1.4,1.74,Dropout,Budapest,,Evening Classes,Engineering,
2135,1,39,1,9254.0,1.0,1.0,133.1,1,19,1,4.0,1.0,101.0,0,0,1,1,0,0,25,0.0,0,6.0,6,0.0,0.0,0.0,0.0,6.0,6.0,0,0.0,0,15.5,2.8,-4.06,Dropout,,Middle Child,Full-Time,Science,No Special Needs
3442,1,17,4,9254.0,1.0,1.0,106.0,1,37,19,9.0,7.0,116.9,1,0,0,1,0,0,20,0.0,0,6.0,7,6.0,11.5,0.0,0.0,6.0,8.0,5,12.4,0,11.1,0.6,2.02,Graduate,Sofia,First Child,Full-Time,Commerce,Special Needs
4397,1,5,4,9853.0,1.0,1.0,116.0,1,3,38,3.0,8.0,110.4,1,0,0,1,0,0,21,0.0,0,6.0,9,5.0,12.6,0.0,0.0,6.0,9.0,3,11.666666666666666,0,9.4,-0.8,-3.12,Enrolled,Budapest,Youngest Child,Part-Time,Commerce,No Special Needs
